"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","0","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","ABE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1009","997","992","952","0","0","841"
"3","ABI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","ABQ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","ABR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0"
"6","ABY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","ACK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0"
"8","ACT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","ACV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","ACY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","ADK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","ADQ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","AEX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116","208","0","0","0"
"14","AGS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","1","0","0","2"
"15","AKN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","ALB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","371","225","504","1225","0","0","1764"
"17","ALO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300","323","332","111","0","0","0"
"18","AMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","560","0","0","0"
"19","ANC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","ANI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
