,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ABE,0,0,686,909,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABI,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABQ,3293,3103,2987,3159,3187,3570,3792,3592,3236,2704,2767,2882,2400,3758,3489,3472,3726,3600,3514,3403,3203,3323,2876,2669,2745
ABR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACK,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,2701,2300,2687,2862,2401,1900,1354,1093,1094,1095,1094,1095,1187,912,0,0,0,0,0,0,0,0,0,0,0
ALO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMA,1423,1389,1421,1559,1235,1069,1093,1093,1093,1092,1057,1090,1039,0,0,0,0,0,0,0,0,0,0,0,0
ANC,0,1,0,0,0,0,0,0,0,0,0,35,0,0,309,212,289,236,152,153,112,282,228,144,145
ANI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATL,6605,6315,6755,6796,7842,7679,7871,9356,9230,9059,8757,8368,7657,9329,8915,7974,7989,8215,8359,8198,6801,5334,5294,4994,4838
ATW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,3938,3837,4220,4249,4942,6104,7239,7485,8137,10061,12827,9425,9557,9424,9792,9506,10118,9341,10150,9997,8439,8015,7919,7635,7552
AVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDL,4363,4193,5237,5399,5176,5348,4456,4275,4230,3964,4353,4408,4711,5803,4732,4235,3351,2785,1820,1797,1771,1821,1957,1527,1593
BET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFL,958,713,715,714,699,473,455,347,251,239,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHM,2494,2494,2805,2828,2973,2938,2022,1126,1093,1093,1092,1096,1093,1072,1069,1087,1089,1191,1390,1287,1079,1090,1046,1017,710
BIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNA,35138,30748,41680,43970,37784,30400,18084,8774,6682,6271,6315,6581,5970,6598,5208,4787,4884,4949,5368,5478,4555,4210,3638,3591,3855
BOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS,7749,8184,8743,9431,10660,12448,13035,13099,14463,15227,16440,17702,18555,16766,15872,17551,14683,13136,12983,12611,11975,10832,9792,10643,11408
BPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BQN,0,0,13,0,644,691,734,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTR,2248,2306,2064,2051,941,0,0,0,0,0,0,0,0,0,0,0,227,18,0,0,0,0,0,0,0
BTV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUF,3733,3484,2810,2775,2680,1915,1783,1785,1780,1777,1961,1925,1881,1877,153,0,0,0,0,0,0,0,0,0,0
BUR,2016,2028,3084,2301,1616,1080,865,731,712,597,573,579,731,1180,1337,1450,1427,1346,1668,1376,1340,1360,1332,85,0
BWI,4380,4247,4941,5763,5959,5048,3726,3303,2862,2597,2732,3684,4386,7235,6963,6483,6117,4580,3808,3111,3132,3223,3096,2879,2981
BZN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAE,1384,1939,828,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAK,1660,1258,1061,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,1064,1042,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHS,1188,1854,1083,1081,1081,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CID,0,0,0,181,348,0,0,0,0,0,0,0,0,497,0,0,0,0,0,0,0,0,0,0,0
CIU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CKB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE,5839,5653,5166,5140,5668,5001,3388,2409,1878,1817,1804,1935,1714,2989,2267,788,0,0,0,0,0,0,778,1049,1043
CLL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLT,3189,1792,1282,1426,1889,1766,1862,2265,2484,2182,2375,2365,2374,3210,2508,1844,1890,1781,1740,1875,1712,1765,2288,1908,2040
CMH,3481,2767,3663,3311,2957,1630,1578,1727,1622,1460,1455,1455,1486,2974,2460,1461,1511,1190,1384,1241,1185,1185,1281,1392,1661
CMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
