"","x"
"9E",0.883358671585001
"AA",0.619235610231918
"AQ",0.801288658086249
"AS",-0.698177761291299
"B6",-0.238791360612059
"CO",0.931873241487124
"DH",0.0951548540605094
"DL",0.170065799935649
"EA",0.6997969890854
"EV",0.225898827687991
"F9",0.976686051838415
"FL",0.184972741274582
"HA",0.599037183298907
"HP",0.179900876486143
"ML(1)",2.13461181359948
"MQ",0.964119535339623
"NW",0.276854744865231
"OH",-1.08163254071027
"OO",0.286922445450969
"PA(1)",0.436546069020334
"PI",-0.185380598176199
"PS",NA
"TW",1.3182190716369
"TZ",-0.4554553342351
"UA",0.386533404156694
"US",0.162285017492345
"VX",-0.78465727897914
"WN",0.0856428450285562
"XE",1.08540763394108
"YV",0.84974267546177
