,9E_samp.mean,9E_samp.sd,AA_samp.mean,AA_samp.sd,AQ_samp.mean,AQ_samp.sd,B6_samp.mean,B6_samp.sd,CO_samp.mean,CO_samp.sd,DH_samp.mean,DH_samp.sd,DL_samp.mean,DL_samp.sd,EA_samp.mean,EA_samp.sd,EV_samp.mean,EV_samp.sd,F9_samp.mean,F9_samp.sd,FL_samp.mean,FL_samp.sd,HA_samp.mean,HA_samp.sd,HP_samp.mean,HP_samp.sd,ML (1)_samp.mean,ML (1)_samp.sd,MQ_samp.mean,MQ_samp.sd,NW_samp.mean,NW_samp.sd,OH_samp.mean,OH_samp.sd,OO_samp.mean,OO_samp.sd,PA (1)_samp.mean,PA (1)_samp.sd,PI_samp.mean,PI_samp.sd,PS_samp.mean,PS_samp.sd,TW_samp.mean,TW_samp.sd,TZ_samp.mean,TZ_samp.sd,UA_samp.mean,UA_samp.sd,US_samp.mean,US_samp.sd,VX_samp.mean,VX_samp.sd,WN_samp.mean,WN_samp.sd,XE_samp.mean,XE_samp.sd,YV_samp.mean,YV_samp.sd
1989,0,0,7.527148172,0.642696339,0,0,0,0,5.310139097,0.909173282,0,0,8.056163729,0.456339842,7.100820977,1.146589228,0,0,0,0,0,0,0,0,5.909090933,0.240812058,0,0,0,0,4.620901401,0.534849653,0,0,0,0,11.44793992,0.804649517,13.6574991,0.587022089,0,0,9.91965185,0.774723498,0,0,10.60498332,0.717185615,8.88113287,0.533626152,0,0,8.866900071,0.469297561,0,0,0,0
1990,0,0,6.509445495,0.67186641,0,0,0,0,9.675193197,1.048770722,0,0,9.267472518,0.68289374,6.381858628,0.824082392,0,0,0,0,0,0,0,0,6.108020778,0.246893603,0,0,0,0,4.403072495,0.773765239,0,0,0,0,2.215683514,0.718172394,0,0,0,0,7.878976637,0.660389238,0,0,7.494966551,0.604656147,7.829949197,0.716888372,0,0,5.585019342,0.423444055,0,0,0,0
1991,0,0,2.799068574,1.197537343,0,0,0,0,4.800424753,0.583401204,0,0,7.392004339,0.44570062,0,0,0,0,0,0,0,0,0,0,6.810280877,0.398722202,6.882221009,0.869772776,0,0,1.529612877,0.48133022,0,0,0,0,-0.094207012,0.519357739,0,0,0,0,6.985673081,0.482246427,0,0,7.935671082,0.67580203,4.15031795,0.337693261,0,0,7.137987818,0.436406097,0,0,0,0
1992,0,0,4.64905631,0.46219896,0,0,0,0,6.554385629,0.58785235,0,0,6.825966464,0.337004529,0,0,0,0,0,0,0,0,0,0,2.12825346,0.472000615,0,0,0,0,0.211203972,0.505437354,0,0,0,0,0,0,0,0,0,0,2.946269943,0.406854958,0,0,3.667331481,0.481496273,4.419800602,0.232395916,0,0,0.691946931,0.211136763,0,0,0,0
1993,0,0,7.361777074,0.626902782,0,0,0,0,4.957618372,0.745712733,0,0,10.1759287,0.524848159,0,0,0,0,0,0,0,0,0,0,4.617021277,0.429422064,0,0,0,0,3.677565122,0.75320724,0,0,0,0,0,0,0,0,0,0,2.347923421,0.388439271,0,0,6.521858275,0.557088392,5.157753332,0.708441521,0,0,3.576161707,0.346111078,0,0,0,0
1994,0,0,6.528347659,0.725219451,0,0,0,0,10.77727653,1.46068227,0,0,6.747630611,0.528748168,0,0,0,0,0,0,0,0,0,0,8.271529889,0.545980948,0,0,0,0,2.791507101,0.6778095,0,0,0,0,0,0,0,0,0,0,8.089417275,1.016816336,0,0,5.750614626,0.659135597,6.504310928,0.627931239,0,0,2.925478348,0.229289818,0,0,0,0
1995,0,0,7.316736636,0.593797637,0,0,0,0,8.170797721,0.897138572,0,0,6.938175746,0.539088512,0,0,0,0,0,0,0,0,0,0,9.198984772,0.496629682,0,0,0,0,3.753970107,0.55045613,0,0,0,0,0,0,0,0,0,0,9.321378992,0.77461816,0,0,5.244738569,0.696833665,5.269589706,0.402904706,0,0,6.283095723,0.340316948,0,0,0,0
1996,0,0,11.39690774,1.053436621,0,0,0,0,10.26921529,1.310614257,0,0,13.33351195,0.938387361,0,0,0,0,0,0,0,0,0,0,12.82215447,0.8403565,0,0,0,0,6.692187866,1.005019016,0,0,0,0,0,0,0,0,0,0,12.43864704,1.025150634,0,0,9.895954055,0.928770179,9.763685917,0.711055416,0,0,6.03051882,0.485644206,0,0,0,0
1997,0,0,7.144705137,1.259201019,0,0,0,0,8.262238701,1.298251423,0,0,10.67227328,0.873645253,0,0,0,0,0,0,0,0,0,0,8.918016194,0.690640428,0,0,0,0,10.91409578,1.28339055,0,0,0,0,0,0,0,0,0,0,7.160549631,1.000237963,0,0,7.447977313,0.616371649,6.44402201,0.716601919,0,0,5.792089249,0.35604528,0,0,0,0
1998,0,0,4.647073673,1.054234202,0,0,0,0,9.936192224,1.486695268,0,0,8.557537173,0.941300815,0,0,0,0,0,0,0,0,0,0,14.07048286,1.069927055,0,0,0,0,11.01234022,2.356367466,0,0,0,0,0,0,0,0,0,0,11.83682473,1.286144084,0,0,12.86572541,1.296456697,6.938176042,0.8807889,0,0,6.834181078,0.447179781,0,0,0,0
