"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","0","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","ABE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","365","264","1627","1085","1053","910","787","304","875","2071","1827"
"3","ABI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","129"
"4","ABQ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92","0","0","0","0","0","0","922","1096"
"5","ABR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","ABY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1449","1360","1390","1369","1312","1095","1000","1028","1003","999","1036"
"7","ACK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","ACT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","0"
"9","ACV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","ACY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","265","609","113","0","0","0","0","0"
"11","ADK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","ADQ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","AEX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1805","1685","1043","1000","1091","983","1044","1582","1506","2392","2710"
"14","AGS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3151","2900","2764","2316","2239","2379","3050","3302","2903","2631","2441"
"15","AKN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","ALB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","129","1119","1407","1224","1217","1109","1068","2783","2448"
"17","ALO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","AMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1093","1031","59","0","0","0","0","0","0","1856","2994"
"19","ANC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","ANI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","APF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","140","1037","796","555","0","0","0","0","0","0"
"22","APN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","ART","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","ASE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","ATL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92168","86866","114563","121475","130464","128680","142234","128272","104487","99908","96434"
"26","ATW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139","1125","1392","1334","759","575","369","516","2397","2238"
"27","AUS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1216","2687","1966","818","609","413","478","93","368","681","1066"
"28","AVL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2501","2446","3420","1940","1662","1998","3046","3264","3050","3486","2506"
"29","AVP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","122","1577","734","830","700","229","0","155","983","1067"
"30","AZA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","AZO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","113","365","308","29","0","0","0","33","34"
"32","BDL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66","35","44","0","279","891","1733","1743"
"33","BET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","BFF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","BFI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","BFL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","BGM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","364","229","0","0","0","1","0","0"
"38","BGR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","234","506","269","0","0","518","589","827"
"39","BHM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","917","960","496","937","380","894","3042","3798","1876","4969","3869"
"40","BIL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","209","248","0","0","0","0","0","672","243"
