"","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"9E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.22,10.84,5.78,11.01,NA,NA,9.96
"AA",10.74,9.81,13.13,12.96,8.44,10.29,11.76,11.27,14.74,20.79,12.17,11.8,18.7,20.68,14.77,5.62,7.85,17.14,17.78,20.26,29.11,25.84,16.75,12.49,14.79,16.29,16.89
"AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,9.09,NA,NA,NA,NA,-0.78,-0.95,-4.37,NA,NA,NA,NA,NA
"AS",20.64,13.46,13.18,12.38,8.46,8.73,8.34,9.55,15,24.01,17.7,20.61,21.77,25.64,22.59,12.64,8.86,15.52,25.67,18.37,19.85,11.52,5.16,-1.12,-1.42,-0.38,-0.51
"B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.64,7.85,21.11,22.19,28.13,23.66,14.68,17.93,22.52,14.3,20.97
"CO",23.62,14.05,12.7,14.85,10.58,11.81,12.2,14.96,13.24,17.99,15.79,16.15,17.56,15.33,8.84,4.82,7.68,12.83,16.46,22.3,22.03,24.11,16.24,11.11,15.78,NA,NA
"DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.94,18.93,12.56,NA,NA,NA,NA,NA,NA,NA,NA
"DL",19.26,11.21,14.97,16.93,13.67,14.83,16.36,13.36,17.38,21.93,18.23,12.77,14.69,17.66,12.44,11.25,8.39,15.84,16.04,15.09,15.12,15.83,12,15.35,8.59,4.31,8.76
"EA",17.62,16,13.74,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.55,15.97,23.18,31,37.47,22.13,23.8,15.46,22.16,19.26,24.32
"F9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.16,9.72,14.83,12.01,13.62,11.24,14.99,16.31,25.22
"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.25,17.76,29.56,20.39,16.94,18.32,18.09,8.97,6.36,2.08,14.26
"HA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,-2.3,-3.42,-2.26,-1.33,1.7,-0.73,0.57,-0.08,0.16,-0.69
"HP",15.68,8.28,11.45,12.09,11.9,7.09,11.11,15.3,17.12,23.29,17.04,29.2,25.18,29.36,18.16,8.73,8.87,14.95,9.99,NA,NA,NA,NA,NA,NA,NA,NA
"ML (1)",NA,NA,NA,NA,10.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.19,9.74,9.25,17.68,15.24,22.3,26.13,20.52,14.83,14.39,13.74,8.91,22.58
