"","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"9E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.94,-2.62,-2.93,-3.27,NA,NA,-3.99
"AA",-0.91,-1.37,-0.78,0.03,-0.7,0.04,0.4,0.13,-0.21,1.01,-2.45,-3,-0.86,-1.22,-3.21,-3.26,-1.43,-0.85,-1.16,-1.06,-0.23,-0.62,-4.06,-4.84,-4.28,-3.49,-5.08
"AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.69,NA,NA,NA,NA,-0.51,-1.8,-1.41,NA,NA,NA,NA,NA
"AS",4.22,2.09,1.73,1.73,0.13,0.66,1.58,1.96,2.26,2.44,1.32,2.29,0.24,0,0.85,-1.83,-2.5,-2.24,-1.23,-0.11,-1.32,-1.91,-2.01,-3.63,-3.36,-3.42,-1.62
"B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.67,-4.59,0.5,-0.37,-1.26,-1.49,-3.77,-5.01,-2.53,-4.6,-2.71
"CO",-1.27,-2.67,-1.6,0.81,-1.49,-0.33,-0.97,-0.4,-0.55,0.92,0.2,-0.46,-0.6,-1.63,-2.19,-0.22,-0.11,0.92,0.69,0.32,-1.49,-2.16,-3.92,-4.3,-3.2,NA,NA
"DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.87,-3.93,-0.54,NA,NA,NA,NA,NA,NA,NA,NA
"DL",4.59,1.1,1.9,1.95,-0.22,0.14,0.91,-0.22,-0.88,1.1,0.82,-1.25,-1.34,-1.1,-2.48,0.17,-0.68,0.58,-0.21,-1.06,-0.52,-0.12,-2.45,-4.32,-5.13,-5.91,-4.8
"EA",0.68,-0.74,-1.81,-2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.23,-4.35,-3.27,-1.89,-3.08,-1.71,-0.43,-6.29,-3.65,-4.67,-3.14
"F9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.15,-0.41,0.03,0.21,-0.14,-1.92,-1.65,-0.55,0.5
"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,-2.15,-0.83,-1.5,-1.06,-0.14,-1.04,-3.04,-1.99,-2.61,-2.82
"HA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18,-1.84,-1.19,0.2,0.46,0.83,1.41,1.12,0.36,0.47,0.73
"HP",3.4,-0.12,0.41,-0.65,-2.03,-3.05,-1.52,0.5,1.19,2.73,1.53,1.5,1.24,0.51,-1.52,-3.78,-2.75,-1.12,-3.29,NA,NA,NA,NA,NA,NA,NA,NA
"ML (1)",NA,NA,NA,NA,-1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.67,-1.32,-0.77,0.8,0.07,-0.52,-0.14,-0.74,-1.65,-1.98,-1.48,-3.14,-1.08
"NW",3.89,1.93,0.49,-1.06,-1.34,-0.91,-1.05,-1.62,-1.5,-1.05,-0.61,-2.47,-2.25,-1.72,-2.61,-1.24,-0.2,1.56,1.03,1.07,3.66,0.93,-1.65,NA,NA,NA,NA
"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.94,-3.21,-0.46,0.57,0.31,-0.14,-2.15,NA,NA,NA
"OO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.15,-2.75,-1.92,-0.62,0.55,-0.81,-1.62,-1.35,-1.57,-2.21,-1.61
"PA (1)",2.55,2.56,1.86,-2.52,-2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI",1.67,1.23,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PS",4.08,-3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TW",1.21,0.93,0.34,0.34,-0.55,-1.69,-1.51,-0.75,-0.5,-0.26,-1.56,-1.5,-2.15,-0.41,-1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,0.64,0.1,2.96,NA,NA,NA,NA,NA,NA,NA
"UA",0.56,-0.12,0.57,-0.22,-0.9,-0.86,-0.31,-1.65,-2.98,-2.14,-1.18,-0.69,0.02,0.94,-2.38,-2.21,-1.54,-1.24,-2.04,-1.36,-1.13,-2.77,-6.91,-10.05,-6.04,-7.54,-7.59
"US",2.23,0.79,0.91,-0.07,-0.8,-0.43,-2.2,-2.1,-1.84,-0.85,-0.54,-1.15,0.12,0.82,-2.31,-2.17,0.08,-2.32,-1.74,-1.23,-0.57,-2.84,-1.2,-2.64,-1.6,-3.58,-1.57
"VX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.99,-5.25
"WN",-2.28,-2.73,-1.55,-1.8,-2.07,-3.54,-2.84,-1.81,-1.88,-1.93,-1.87,-2.21,-2.56,-2.14,-3.85,-4.99,-4.59,-3.84,-4.77,-5.22,-4.92,-5.14,-6.97,-6.52,-6.84,-6.41,-5.16
"XE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11,2.59,2.08,0.88,-1.82,-0.69,-0.89,-0.82,-1.01,NA,NA
"YV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59,-1.34,-0.18,-1.91,-1.57,-2.15,-2.23,-0.3
