"","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"9E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11,6.77,4.42,7.25,NA,NA,7.07
"AA",5.93,5.69,7.1,6.65,4.71,5.24,5.74,5.62,7.52,9.96,7.35,7.45,9.84,11.04,9.03,4.47,4.67,9.03,9.5,10.7,14.72,13.28,10.47,8.71,9.61,9.95,11.04
"AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,4.2,NA,NA,NA,NA,-0.11,0.44,-1.4,NA,NA,NA,NA,NA
"AS",8.3,5.8,5.95,5.5,4.33,4.23,3.53,3.92,6.5,10.91,8.32,9.26,10.89,12.95,10.97,7.35,5.8,8.99,13.55,9.39,10.73,6.85,3.7,1.38,1.06,1.65,0.63
"B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66,6.23,10.34,11.29,14.74,12.65,9.27,11.52,12.6,9.51,11.93
"CO",12.62,8.47,7.24,7.12,6.11,6.13,6.67,7.89,6.97,8.58,7.84,8.35,9.12,8.53,5.54,2.54,3.9,5.97,7.9,11.03,11.79,13.19,10.12,7.75,9.52,NA,NA
"DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,11.43,6.57,NA,NA,NA,NA,NA,NA,NA,NA
"DL",7.37,5.08,6.57,7.53,6.99,7.4,7.78,6.85,9.17,10.48,8.75,7.06,8.06,9.46,7.5,5.57,4.55,7.67,8.15,8.11,7.85,8.01,7.26,9.88,6.91,5.15,6.83
"EA",8.83,8.81,8.04,8.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.89,10.15,13.2,16.41,20.22,11.92,12.19,10.93,13,12.03,13.83
"F9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,5.08,7.41,5.92,6.89,6.6,8.32,8.48,12.38
"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91,9.98,15.22,10.97,9.04,9.26,9.6,6.04,4.24,2.37,8.57
"HA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,-0.22,-1.12,-1.22,-0.88,0.46,-1.05,-0.27,-0.21,-0.15,-0.7
"HP",6.2,4.22,5.55,6.43,7.02,5.11,6.36,7.43,7.98,10.32,7.78,13.91,12,14.44,9.86,6.27,5.82,8.06,6.65,NA,NA,NA,NA,NA,NA,NA,NA
"ML (1)",NA,NA,NA,NA,6.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45,5.55,5.03,8.48,7.61,11.46,13.19,10.7,8.32,8.26,7.7,6.08,11.93
"NW",6.86,5.91,5.58,4.94,3.12,3.2,3.02,3.71,6.43,8.24,9.37,10.51,6.72,7.73,5.8,4.82,2.19,4.19,7.84,7.02,8.93,6.46,6.49,NA,NA,NA,NA
"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.76,6.64,9.38,12.61,11.54,11.36,9.72,NA,NA,NA
"OO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.45,6.58,5.79,8.84,8.31,7.46,5.63,7.65,6.97,6.23,7.22
"PA (1)",4.95,6.23,7.78,4.62,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI",7.72,7.95,12.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PS",13.32,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TW",7.1,7.13,7.36,7.24,5.62,5.61,5.19,6.58,9.47,12.08,7.27,9.04,8.2,9.59,6.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.79,4.95,4.54,12.86,NA,NA,NA,NA,NA,NA,NA
"UA",8.29,7.5,10.74,7.75,7.62,5.82,7.15,6.82,10.24,12.49,9.92,11.73,9.9,17.61,11.04,4.66,4.67,7.24,9.62,11.91,13.91,14.11,8.32,6.08,8.79,12.71,11.42
"US",7.38,7.39,10.76,6.16,4.76,6.47,6.45,8.6,8.02,9.09,6.15,7.4,10.41,9.14,5.88,3.68,4.18,6.85,8.43,7.89,12.15,5.72,3.66,3.18,5.03,2.36,4.46
"VX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.04,10.46
"WN",8.46,5.99,8.37,8.78,7.07,4.02,5.2,6.43,8.31,8.88,8.57,9.58,10.09,12.71,8.76,8.93,6.7,10.16,10.15,10.29,10.44,10.38,9.25,11.34,10.92,9.32,12.44
