"","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"9E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.14,4.11,1.43,3.87,NA,NA,2.98
"AA",4.91,4.22,6.18,6.49,3.87,5.17,6.08,5.7,7.27,10.9,4.86,4.4,8.92,9.73,5.78,1.18,3.21,8.14,8.31,9.6,14.44,12.61,6.34,3.82,5.26,6.4,5.9
"AQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,4.89,NA,NA,NA,NA,-0.65,-1.38,-2.89,NA,NA,NA,NA,NA
"AS",12.43,7.78,7.45,7.05,4.3,4.69,4.96,5.76,8.63,13.23,9.51,11.45,11,12.82,11.72,5.4,3.18,6.64,12.22,9.13,9.26,4.8,1.57,-2.37,-2.39,-1.9,-1.06
"B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,1.63,10.8,10.91,13.44,11.08,5.46,6.46,9.99,4.85,9.13
"CO",11.17,5.69,5.55,7.83,4.54,5.74,5.62,7.28,6.35,9.45,7.99,7.85,8.48,6.85,3.32,2.3,3.78,6.87,8.57,11.31,10.27,10.98,6.16,3.4,6.29,NA,NA
"DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,7.5,6.01,NA,NA,NA,NA,NA,NA,NA,NA
"DL",11.92,6.16,8.44,9.44,6.72,7.49,8.64,6.57,8.25,11.51,9.52,5.76,6.68,8.28,4.98,5.71,3.86,8.21,7.91,7.01,7.3,7.86,4.78,5.51,1.73,-0.8,1.98
"EA",9.15,7.63,5.96,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.66,5.81,9.96,14.56,17.2,10.21,11.68,4.59,9.25,7.29,10.59
"F9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51,4.65,7.43,6.11,6.74,4.66,6.67,7.88,12.86
"FL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.37,7.8,14.37,9.44,7.94,9.09,8.53,2.96,2.19,-0.26,5.72
"HA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,-2.07,-2.31,-1.03,-0.43,1.26,0.34,0.85,0.14,0.31,0.02
"HP",9.54,4.08,5.93,5.72,4.93,2.02,4.8,7.9,9.15,13.01,9.28,15.35,13.21,14.94,8.32,2.48,3.06,6.92,3.35,NA,NA,NA,NA,NA,NA,NA,NA
"ML (1)",NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,4.21,4.24,9.24,7.66,10.89,12.99,9.89,6.59,6.2,6.13,2.88,10.75
"NW",10.72,7.81,6.04,3.83,1.73,2.26,1.95,2.06,4.88,7.14,8.7,7.96,4.39,5.95,3.15,3.53,1.96,5.71,8.83,8.05,12.56,7.37,4.8,NA,NA,NA,NA
"OH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78,3.41,8.88,13.14,11.82,11.11,7.5,NA,NA,NA
"OO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,3.8,3.85,8.2,8.84,6.6,3.97,6.24,5.36,3.98,5.56
"PA (1)",7.42,8.65,9.56,1.98,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PI",9.38,8.69,13.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PS",17.24,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TW",8.22,7.93,7.58,7.47,5,3.83,3.62,5.76,8.9,11.76,5.68,7.5,6.01,9.14,4.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.96,5.57,4.63,15.77,NA,NA,NA,NA,NA,NA,NA
"UA",8.78,7.32,11.23,7.45,6.66,4.9,6.79,5.13,7.22,10.29,8.71,11,9.88,18.48,8.63,2.43,3.11,5.98,7.56,10.5,12.75,11.29,1.36,-4.01,2.69,5.09,3.76
"US",9.56,8.11,11.54,6,3.92,5.99,4.19,6.43,6.14,8.18,5.57,6.19,10.44,9.86,3.51,1.47,4.22,4.48,6.64,6.63,11.53,2.85,2.42,0.51,3.36,-1.24,2.86
"VX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03,5.18
"WN",6.19,3.26,6.77,6.92,4.96,0.46,2.32,4.6,6.37,6.89,6.64,7.3,7.47,10.48,4.86,3.89,2.06,6.28,5.34,5.04,5.47,5.18,2.26,4.79,4.05,2.88,7.25
"XE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23,7.88,8.89,10.72,10.01,10.64,6.74,6.91,9.49,NA,NA
"YV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.63,10.96,11.78,6.59,2.99,2.36,1.32,8.13
