"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","0","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","9E","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","258851","262208","262973","261364","0","0","296701"
"3","AA","723252","712060","725191","782371","786696","722277","688471","655539","663954","653919","692653","742265","716985","852439","752241","698548","673569","643597","633857","604885","551597","540963","538179","525220","537891"
"4","AQ","0","0","0","0","0","0","0","0","0","0","0","11036","53798","0","0","0","0","35387","46360","7800","0","0","0","0","0"
"5","AS","89122","97934","98952","102207","98431","117475","135124","144291","147750","152220","156098","154171","156447","159194","161594","166992","158100","159404","160185","151102","137322","136950","143726","147569","154743"
"6","B6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","67184","89834","111050","155732","191450","196091","194336","201434","215970","229056","241777"
"7","CO","410322","427570","424734","421974","419560","484834","434425","414410","403349","399273","400014","393036","377281","325246","302742","299329","296661","309389","323151","298455","258159","239271","245318","0","0"
"8","DH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","291600","264955","136492","0","0","0","0","0","0","0","0"
"9","DL","783320","824062","874791","916593","898896","874526","884019","888306","921850","915095","914130","908029","835236","728758","660617","687638","658302","506086","475889","451931","428007","732973","732331","726879","754670"
"10","EA","169704","252013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","EV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","273712","278861","304647","273143","286234","280575","299000","319921","327845","740855","748696"
"12","F9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53255","90181","97760","95762","86989","81966","85485","79255","75612"
"13","FL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","144700","162558","195392","237645","263159","261684","251415","248844","248703","218162","173952"
"14","HA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7831","48077","48183","52173","56175","61826","72920","67649","66740","74109","72286"
"15","HP","195588","216314","219896","199066","176756","177851","194508","203001","206304","203071","209496","219160","209979","196111","189519","195939","197853","0","0","0","0","0","0","0","0"
"16","ML (1)","0","0","70622","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","MQ","0","0","0","0","0","0","0","0","0","0","0","0","489418","439984","429098","483088","532032","550088","540494","490693","437009","436976","448178","473140","439865"
"18","NW","451752","461745","460230","474931","474831","482798","521693","543041","537152","527512","537180","551337","533045","513331","499160","507286","480832","432880","414526","347652","293133","0","0","0","0"
"19","OH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","373346","381337","278099","233787","197607","151774","147633","0","0","0"
"20","OO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","396801","463448","517454","548109","597882","567159","547572","599620","587372","617756","626359"
"21","PA (1)","79333","83056","64729","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","PI","286518","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","PS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","TW","276471","264182","231769","246449","244782","258205","272452","282176","274037","274073","275830","267131","244721","0","0","0","0","0","0","0","0","0","0","0","0"
"25","TZ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69176","75533","44109","19602","0","0","0","0","0","0","0"
"26","UA","574674","606713","630093","639349","649086","638750","724807","735266","743847","748459","774370","776559","704977","587887","543957","555812","485918","500008","490002","449515","377049","343081","311212","531245","505798"
"27","US","712342","1002485","907184","886305","833131","857906","778835","728534","718751","696030","714430","748624","688748","511664","411956","419919","425609","504844","485447","453589","413907","407111","408922","404263","412373"
"28","VX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54742","57133"
"29","WN","288802","322759","368734","422912","488332","565426","693101","757419","794849","815069","853683","911699","957145","956745","958566","990404","1036034","1099321","1168871","1201754","1132278","1124487","1155717","1140535","1130704"
"30","XE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","328086","367703","403767","441470","434773","374510","310717","385077","413286","0","0"
"31","YV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","304764","294362","254930","244128","174797","156297","133976","140922"
