"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","0","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","ABE","4959","6010","6178","7428","6515","7096","7198","7125","6865","6236","6089","6302","5262","2090","4071","6909","4742","5188","5701","4807","4078","4173","3860","2841","3100"
"3","ABI","2","0","0","0","0","0","0","0","0","0","0","0","2567","2437","2529","3088","2749","2845","2836","2660","2497","2497","2479","2439","2754"
"4","ABQ","30882","31893","30334","31744","34699","36196","36871","37956","37604","36320","37276","36447","36248","36240","36708","37033","36956","37264","41161","41146","35664","33300","33878","30931","28552"
"5","ABR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","612","745"
"6","ABY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1449","1420","1390","1369","1312","1095","1000","1028","1003","999","1036"
"7","ACK","0","0","0","0","19","22","40","25","16","22","0","0","0","0","193","242","227","235","314","457","318","346","260","349","378"
"8","ACT","0","0","0","0","0","0","0","0","0","0","0","0","2686","2390","2736","3522","2947","2458","2349","1993","1053","85","397","1580","1704"
"9","ACV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4027","4101","4042","3664","3872","3714","3386","3295","3278","3486","3281"
"10","ACY","654","760","934","763","738","620","0","0","0","0","0","0","1","0","132","1096","1037","765","735","116","525","840","727","12","0"
"11","ADK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","74","104","102","104","103","102","104","103","104","105","104"
"12","ADQ","0","0","0","85","315","423","504","533","719","726","725","728","726","726","726","727","665","602","691","706","632","670","672","670","660"
"13","AEX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3261","3254","2595","2809","2996","2330","2960","3613","3318","3703","3994"
"14","AGS","3086","3136","3390","3640","3494","3345","2387","2137","2183","1907","1452","993","0","3","4321","4039","2764","2332","2286","2403","3119","3746","3885","3100","3045"
"15","AKN","0","0","0","330","356","400","475","453","456","431","343","324","284","322","347","380","389","364","235","116","77","77","84","84","77"
"16","ALB","13651","13713","12368","14294","12836","12499","11997","11304","11179","11276","11644","13683","16349","13961","17098","18067","18360","14676","14965","13474","12050","11878","9701","9491","10723"
"17","ALO","0","0","0","0","0","0","0","469","0","0","0","0","0","0","0","0","0","0","300","323","332","111","0","509","676"
"18","AMA","6342","6391","5890","5927","5089","4128","4294","4792","4862","4847","4794","4790","6138","6320","8368","8172","8245","8495","7542","7496","6675","7002","6893","7371","7450"
"19","ANC","13479","14490","15135","16562","16256","17146","19040","20673","19988","20518","20807","20782","21186","21094","21013","20540","20767","19976","19755","19327","17659","18081","18316","17667","18519"
"20","ANI","0","0","0","43","97","138","133","64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","APF","114","0","0","0","0","0","0","0","0","0","0","0","364","0","0","140","1037","796","555","0","0","0","0","0","0"
"22","APN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","200","630"
"23","ART","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","626","631"
"24","ASE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3733","5305","5307","4670","4333","4404","4840","4661"
"25","ATL","224036","269397","188408","203087","220818","221486","230470","241609","250222","255380","263865","265708","251671","231928","368743","418072","433678","407971","413851","414513","419211","414666","392864","392015","398878"
"26","ATW","701","266","0","0","0","0","0","0","0","0","0","0","0","0","1087","2565","2392","4348","6179","5873","5240","4590","2989","3693","5096"
"27","AUS","28255","28397","29519","29347","30687","33341","36474","36658","37671","39533","44351","42686","42912","39202","41015","39851","41696","44592","51560","49623","41970","42631","42510","43526","47385"
